District,Zone,Geographical Region,Development Region,Sub Group,Value
Kaski,Gandaki,Hill,Western,GDP (Value Added) Rs. In Million,31244.7
Kaski,Gandaki,Hill,Western,Labour Productivity (in Rs.),180983.4
Kathmandu,Bagmati,Hill,Central,Economically Active Population,614432.4
Kathmandu,Bagmati,Hill,Central,GDP (Value Added) Rs. In Million,196723.1
Kathmandu,Bagmati,Hill,Central,Labour Productivity (in Rs.),320170.5
Kavre,Bagmati,Hill,Central,Economically Active Population,177423.3
Kavre,Bagmati,Hill,Central,GDP (Value Added) Rs. In Million,21777.6
Kavre,Bagmati,Hill,Central,Labour Productivity (in Rs.),122743.5
Khotang,Sagarmatha,Hill,Eastern,Economically Active Population,92356.8
Khotang,Sagarmatha,Hill,Eastern,GDP (Value Added) Rs. In Million,9476.5
Khotang,Sagarmatha,Hill,Eastern,Labour Productivity (in Rs.),102607.9
Lalitpur,Bagmati,Hill,Central,Economically Active Population,190394.8
Lalitpur,Bagmati,Hill,Central,GDP (Value Added) Rs. In Million,36179.0
Lalitpur,Bagmati,Hill,Central,Labour Productivity (in Rs.),190021.1
Lamjung,Gandaki,Hill,Western,Economically Active Population,77771.7
Lamjung,Gandaki,Hill,Western,GDP (Value Added) Rs. In Million,8057.9
Lamjung,Gandaki,Hill,Western,Labour Productivity (in Rs.),103610.0
Mahottari,Janakpur,Terai,Central,Economically Active Population,183092.2
Mahottari,Janakpur,Terai,Central,GDP (Value Added) Rs. In Million,17283.9
Mahottari,Janakpur,Terai,Central,Labour Productivity (in Rs.),94400.2
Makwanpur,Narayani,Hill,Central,Economically Active Population,195841.7
Makwanpur,Narayani,Hill,Central,GDP (Value Added) Rs. In Million,24156.7
Makwanpur,Narayani,Hill,Central,Labour Productivity (in Rs.),123348.0
Manang,Gandaki,Mountain,Western,Economically Active Population,3635.0
Manang,Gandaki,Mountain,Western,GDP (Value Added) Rs. In Million,845.0
Manang,Gandaki,Mountain,Western,Labour Productivity (in Rs.),232453.5
Morang,Kosi,Terai,Eastern,Economically Active Population,377416.8
Morang,Kosi,Terai,Eastern,GDP (Value Added) Rs. In Million,49026.1
Morang,Kosi,Terai,Eastern,Labour Productivity (in Rs.),129899.0
Mugu,Karnali,Mountain,Mid-Western,Economically Active Population,25305.0
Mugu,Karnali,Mountain,Mid-Western,GDP (Value Added) Rs. In Million,1955.1
Mugu,Karnali,Mountain,Mid-Western,Labour Productivity (in Rs.),77259.5
Mustang,Dhawalagiri,Mountain,Western,Economically Active Population,7784.1
Mustang,Dhawalagiri,Mountain,Western,GDP (Value Added) Rs. In Million,1055.0
Mustang,Dhawalagiri,Mountain,Western,Labour Productivity (in Rs.),135529.1
Myagdi,Dhawalagiri,Hill,Western,Economically Active Population,54146.6
Myagdi,Dhawalagiri,Hill,Western,GDP (Value Added) Rs. In Million,4721.8
Myagdi,Dhawalagiri,Hill,Western,Labour Productivity (in Rs.),87204.6
Nawalparasi,Lumbini,Terai,Western,Economically Active Population,308398.0
Nawalparasi,Lumbini,Terai,Western,GDP (Value Added) Rs. In Million,30140.2
Nawalparasi,Lumbini,Terai,Western,Labour Productivity (in Rs.),97731.5
Nuwakot,Bagmati,Hill,Central,Economically Active Population,132394.6
Nuwakot,Bagmati,Hill,Central,GDP (Value Added) Rs. In Million,12266.7
Nuwakot,Bagmati,Hill,Central,Labour Productivity (in Rs.),92652.5
Okhaldhunga,Sagarmatha,Hill,Eastern,Economically Active Population,69635.9
Okhaldhunga,Sagarmatha,Hill,Eastern,GDP (Value Added) Rs. In Million,5748.3
Okhaldhunga,Sagarmatha,Hill,Eastern,Labour Productivity (in Rs.),82547.3
Palpa,Lumbini,Hill,Western,Economically Active Population,118916.3
Palpa,Lumbini,Hill,Western,GDP (Value Added) Rs. In Million,10373.8
Palpa,Lumbini,Hill,Western,Labour Productivity (in Rs.),87236.1
Panchthar,Mechi,Hill,Eastern,Economically Active Population,85951.2
Panchthar,Mechi,Hill,Eastern,GDP (Value Added) Rs. In Million,8413.5
Panchthar,Mechi,Hill,Eastern,Labour Productivity (in Rs.),97886.7
Parbat,Dhawalagiri,Hill,Western,Economically Active Population,70704.4
Parbat,Dhawalagiri,Hill,Western,GDP (Value Added) Rs. In Million,6004.5
Parbat,Dhawalagiri,Hill,Western,Labour Productivity (in Rs.),84924.0
Parsa,Narayani,Terai,Central,Economically Active Population,182168.9
Parsa,Narayani,Terai,Central,GDP (Value Added) Rs. In Million,30004.6
Parsa,Narayani,Terai,Central,Labour Productivity (in Rs.),164707.6
Pyuthan,Rapti,Hill,Mid-Western,Economically Active Population,109540.0
Pyuthan,Rapti,Hill,Mid-Western,GDP (Value Added) Rs. In Million,6191.9
Pyuthan,Rapti,Hill,Mid-Western,Labour Productivity (in Rs.),56526.1
Ramechhap,Janakpur,Hill,Central,Economically Active Population,97912.6
Ramechhap,Janakpur,Hill,Central,GDP (Value Added) Rs. In Million,7835.8
Ramechhap,Janakpur,Hill,Central,Labour Productivity (in Rs.),80029.0
Rasuwa,Bagmati,Mountain,Central,Economically Active Population,20983.0
Rasuwa,Bagmati,Mountain,Central,GDP (Value Added) Rs. In Million,2677.4
Rasuwa,Bagmati,Mountain,Central,Labour Productivity (in Rs.),127598.9
Rautahat,Narayani,Terai,Central,Economically Active Population,197110.0
Rautahat,Narayani,Terai,Central,GDP (Value Added) Rs. In Million,21193.0
Rautahat,Narayani,Terai,Central,Labour Productivity (in Rs.),107518.8
Rolpa,Rapti,Hill,Mid-Western,Economically Active Population,94440.0
Rolpa,Rapti,Hill,Mid-Western,GDP (Value Added) Rs. In Million,5779.0
Rolpa,Rapti,Hill,Mid-Western,Labour Productivity (in Rs.),61192.1
Rukum,Rapti,Hill,Mid-Western,Economically Active Population,77523.0
Rukum,Rapti,Hill,Mid-Western,GDP (Value Added) Rs. In Million,6594.6
Rukum,Rapti,Hill,Mid-Western,Labour Productivity (in Rs.),85066.7
Rupandehi,Lumbini,Terai,Western,Economically Active Population,318001.9
Rupandehi,Lumbini,Terai,Western,GDP (Value Added) Rs. In Million,40138.8
Rupandehi,Lumbini,Terai,Western,Labour Productivity (in Rs.),126221.9
Salyan,Rapti,Hill,Mid-Western,Economically Active Population,101158.3
Salyan,Rapti,Hill,Mid-Western,GDP (Value Added) Rs. In Million,7703.8
Salyan,Rapti,Hill,Mid-Western,Labour Productivity (in Rs.),76155.6
Sankhuwasabha,Kosi,Mountain,Eastern,Economically Active Population,89076.7
Sankhuwasabha,Kosi,Mountain,Eastern,GDP (Value Added) Rs. In Million,7687.8
Sankhuwasabha,Kosi,Mountain,Eastern,Labour Productivity (in Rs.),86304.8
Saptari,Sagarmatha,Terai,Eastern,Economically Active Population,242521.9
Saptari,Sagarmatha,Terai,Eastern,GDP (Value Added) Rs. In Million,20822.9
Saptari,Sagarmatha,Terai,Eastern,Labour Productivity (in Rs.),85859.9
Sarlahi,Janakpur,Terai,Central,Economically Active Population,224676.7
Sarlahi,Janakpur,Terai,Central,GDP (Value Added) Rs. In Million,25341.1
Sarlahi,Janakpur,Terai,Central,Labour Productivity (in Rs.),112789.0
Sindhuli,Janakpur,Hill,Central,Economically Active Population,134796.1
Sindhuli,Janakpur,Hill,Central,GDP (Value Added) Rs. In Million,9884.1
Sindhuli,Janakpur,Hill,Central,Labour Productivity (in Rs.),73326.2
Sindhupalchok,Bagmati,Mountain,Central,Economically Active Population,150026.5
Sindhupalchok,Bagmati,Mountain,Central,GDP (Value Added) Rs. In Million,12976.4
Sindhupalchok,Bagmati,Mountain,Central,Labour Productivity (in Rs.),86494.0
Siraha,Sagarmatha,Terai,Eastern,Economically Active Population,214341.9
Siraha,Sagarmatha,Terai,Eastern,GDP (Value Added) Rs. In Million,17784.3
Siraha,Sagarmatha,Terai,Eastern,Labour Productivity (in Rs.),82971.8
Solukhumbu,Sagarmatha,Mountain,Eastern,Economically Active Population,61606.7
Solukhumbu,Sagarmatha,Mountain,Eastern,GDP (Value Added) Rs. In Million,7947.9
Solukhumbu,Sagarmatha,Mountain,Eastern,Labour Productivity (in Rs.),129009.8
Sunsari,Kosi,Terai,Eastern,Economically Active Population,268482.7
Sunsari,Kosi,Terai,Eastern,GDP (Value Added) Rs. In Million,34261.1
Sunsari,Kosi,Terai,Eastern,Labour Productivity (in Rs.),127610.1
Surkhet,Bheri,Hill,Mid-Western,Economically Active Population,144505.2
Surkhet,Bheri,Hill,Mid-Western,GDP (Value Added) Rs. In Million,12925.0
Surkhet,Bheri,Hill,Mid-Western,Labour Productivity (in Rs.),89443.0
Syangja,Gandaki,Hill,Western,Economically Active Population,131011.8
Syangja,Gandaki,Hill,Western,GDP (Value Added) Rs. In Million,14179.9
Syangja,Gandaki,Hill,Western,Labour Productivity (in Rs.),108234.0
Tanahu,Gandaki,Hill,Western,Economically Active Population,132363.9
Tanahu,Gandaki,Hill,Western,GDP (Value Added) Rs. In Million,14006.5
Tanahu,Gandaki,Hill,Western,Labour Productivity (in Rs.),105817.8
Taplejung,Mechi,Mountain,Eastern,Economically Active Population,59245.5
Taplejung,Mechi,Mountain,Eastern,GDP (Value Added) Rs. In Million,6802.8
Taplejung,Mechi,Mountain,Eastern,Labour Productivity (in Rs.),114823.9
Terhathum,Kosi,Hill,Eastern,Economically Active Population,55401.7
Terhathum,Kosi,Hill,Eastern,GDP (Value Added) Rs. In Million,5850.4
Terhathum,Kosi,Hill,Eastern,Labour Productivity (in Rs.),105600.1
Udayapur,Sagarmatha,Hill,Eastern,Economically Active Population,133579.3
Udayapur,Sagarmatha,Hill,Eastern,GDP (Value Added) Rs. In Million,11841.7
Udayapur,Sagarmatha,Hill,Eastern,Labour Productivity (in Rs.),88648.9
